24 01 2021 1900
48
Hawera	231	227	20.3	13	1001.4	1013
Whanganui	248	239	21.5	11.6	1010.5	1011.5
Waiouru	265	214	21.3	12.3	918.8	-999
Napier	307	226	23.7	14	1007.6	1007.9
Mahia	336	216	21.5	10.4	992.9	1008.5
Palmerston-North	270	256	21.2	14.7	1005.5	1010.9
Levin	261	264	19.3	13.6	1009.6	1011.2
Paraparaumu	254	279	20	14.1	1009.4	1010.1
Wellington	246	291	22.8	12.6	1005.5	1007
Ngawi	259	302	23.3	14.9	1005	1005.7
Castlepoint	285	276	24.9	13.3	992.5	1006
Westport	158	308	19.2	13.9	1011.8	1012.2
Farewell-Spit	191	262	22.8	10.8	1008.2	1008.5
Nelson	202	290	25.7	12.3	1006.7	1007.3
Stephens-Island	225	265	18.4	13.6	986.6	1008.3
Cape-Campbell	231	309	18.3	14.2	1003.1	1003.7
Hokitika	149	330	17.4	14.1	1006.7	1012.2
Kaikoura	213	330	22.8	14.7	991.4	1003.7
Haast	90	386	16.6	14.7	1011	1011.1
Milford-Sound	57	417	15	13.6	1009.6	1010
Mount-Cook	118	379	21.4	5.7	932.1	-999
Tara-Hills	124	455	23.7	7.1	948.8	1003.2
Timaru	150	399	26.4	8.4	998.1	1001.2
Christchurch	186	374	28.3	7.7	998	1002.3
Le-Bons-Bay	198	381	24.7	10.5	975.6	1002.4
Secretary-Island	36	443	15.3	14.5	1006.8	1008.8
Puysegur-Point	32	478	14.9	13.3	1001.4	1006.6
Queenstown	84	430	21.6	7.6	963.3	1004
Invercargill	76	483	15.1	12.2	1004.4	1004.5
Nugget-Point	113	484	15	13	988.2	1003.7
Dunedin	131	462	19.6	14.5	1003.1	1003.4
South-West-Cape	55	517	14.5	-999	992.2	1004.6
Enderby-Island	42	633	10	5	994.3	999
Campbell-Island	107	709	11.1	3.9	990.4	992.2
25 01 2021 1900
48
Cape-Reinga	186	38	20.4	19.1	990.1	1014.9
Kaitaia	203	59	21.4	17.7	1005.7	1014.7
Kerikeri	216	63	24.1	14.9	996.3	1013.7
Whangarei	239	89	23.3	16.8	1008.9	1013.6
Mokohinau-Islands	251	89	21.9	14.2	1004.7	1012.8
Auckland	249	133	21.1	14.5	1012	1012.9
Whitianga	275	128	24.4	12.4	1010.5	1011
